node_id, twitternum, twitterhandle, trumporhillary, lastlocation, pagerank, numtweets
152, 2982147951, mickismetal, 0, Indiana, 1.18139248023e-05, 1.0
153, 712874077149601792, cuckumber, 0, None, 3.37255294584e-06, 3.0
154, 3001911155, heretic027, 0, None, 3.50410258343e-06, 1.0
155, 38875008, gaomedal, 0, None, 2.67150503187e-05, 5.0
156, 4887465857, legion_usa, 0, None, 7.21868707353e-06, 2.0
157, 713395881538662400, brokli_farts, 0, None, 2.5095583506e-06, 2.0
158, 3276257160, biancobeauty, 0, None, 3.15854747849e-05, 2.0
159, 2241494924, getschlonged, 3, California, 2.5095583506e-06, 3.0
160, 3483398542, manwithnoname__, 0, None, 3.12632677117e-05, 1.0
161, 22742932, mzcorae, 5, Oregon, 2.5095583506e-06, 5.0
162, 272383381, fuzeyuji, 7, None, 1.01038076278e-05, 2.0
163, 2761410968, whitereddit, 0, Washington DC, 2.75262829099e-05, 70.0
164, 3414244253, ballshatesgod, 0, None, 2.07639628157e-05, 1.0
165, 2750405587, usmc_proud, 3, Missouri, 1.33211122777e-05, 25.0
166, 750562213744738304, linkshaender1, 7, None, 1.49262521289e-05, 5.0
167, 4036200865, general_zod77, 0, None, 1.18447464787e-05, 1.0
168, 753939280670502913, demosthenes1488, 7, None, 2.04325028659e-05, 1.0
169, 59684261, redstarwarrior, 0, Virginia, 5.49632396804e-05, 16.0
170, 1251056551, privilegecheck2, 3, None, 0.000147270933353, 4.0
171, 722181571780952064, hypocrisyhater1, 7, California, 1.40222965167e-05, 28.0
172, 43661233, realistreport, 0, California, 3.22496260651e-05, 6.0
173, 718889672508907520, foundersrace, 7, None, 8.99592200094e-06, 5.0
174, 704510287886438400, lisablanner, 0, None, 6.72046040435e-06, 9.0
175, 3433659316, fascitarian_v2, 0, None, 2.25932027056e-05, 3.0
176, 3522217401, altrightribz, 0, None, 7.43370073657e-06, 1.0
177, 701511124043354113, motocrossfan4, 0, None, 5.3938770966e-06, 1.0
178, 757247118700609536, dot_brave, 2, None, 2.13031157491e-05, 1.0
179, 714454376769687552, anusxpanda, 0, None, 1.18100801023e-05, 2.0
180, 131886539, norcal_510, 7, California, 7.99938524425e-06, 2.0
181, 68614604, ben_huh, 7, Pennsylvania, 6.66971272555e-06, 5.0
182, 2970291153, fakejkorwin, 0, None, 3.31137559259e-06, 1.0
183, 1422164946, flowingsolemnly, 0, None, 1.62654136676e-05, 4.0
184, 726056313717837824, extremist_frog, 0, None, 7.08112330629e-05, 44.0
185, 3975544791, boonechlt, 3, North Carolina, 8.91849954858e-06, 50.0
186, 45881304, mbowden23, 7, Texas, 1.42533749664e-05, 3.0
187, 163495385, winter_wolf70, 0, None, 1.95287483596e-05, 1.0
188, 3018627712, montydraxel, 0, None, 9.4629931274e-05, 5.0
189, 19079133, sgerard, 0, California, 2.5095583506e-06, 5.0
190, 3885854177, purposetopower, 3, None, 3.63586820948e-05, 11.0
191, 2529074661, staticvariable, 0, None, 2.5095583506e-06, 1.0
192, 3744670696, nathanbraun7, 0, None, 2.65354340116e-05, 1.0
193, 750698054391595008, torodinssonn, 7, None, 3.22243519405e-05, 5.0
194, 4229477358, fashyaviator, 0, None, 7.92138133054e-06, 1.0
195, 4026379247, treyking88, 0, None, 1.27634332131e-05, 2.0
196, 708777357377675264, truthvictorious, 0, None, 8.40555226007e-05, 20.0
197, 3956036081, joseph_nave, 0, Virginia, 8.93569497862e-06, 1.0
198, 199152115, helma_lennartz, 3, None, 9.95795249609e-06, 1.0
199, 254495732, linksfromtokyo, 0, None, 1.68988700606e-05, 1.0
200, 4648778837, johnmeihoph, 7, None, 8.93298644302e-06, 2.0
201, 64723403, watchdogorg, 7, None, 0.000222848955316, 1.0
202, 147963910, westorangepatch, 7, New Jersey, 2.12063267073e-05, 1.0
203, 178163783, middlefinger01, 0, None, 3.37819701565e-06, 1.0
204, 302422124, joroanderson, 0, None, 3.37819701565e-06, 1.0
205, 245911695, tfc92zx, 0, Maryland, 5.43942098894e-06, 7.0
206, 327211717, krispycremegirl, 7, None, 2.01029315733e-05, 4.0
207, 86868339, blithesp, 0, Illinois, 8.80900222673e-06, 1.0
208, 51093789, liliaep, 7, Texas, 2.66148760615e-05, 14.0
209, 119054623, cuneform, 3, None, 1.17044179814e-05, 1.0
210, 189542696, jcderrick1, 1, Washington DC, 2.10103803183e-05, 7.0
211, 15128962, alicesalles, 7, California, 8.98743163757e-06, 1.0
212, 29384094, ralphn8r, 0, Virginia, 3.37819701565e-06, 2.0
213, 44470739, michellediana, 0, None, 1.71213907277e-05, 10.0
214, 505962987, patriot17762012, 0, None, 3.37819701565e-06, 1.0
215, 26184184, johariwindows, 1, None, 3.37819701565e-06, 4.0
216, 473048149, johnheathcote2, 7, Indiana, 5.14010638807e-06, 1.0
217, 92455469, toadtws, 7, Missouri, 1.24075185113e-05, 4.0
218, 46590524, keyboardmilitia, 7, Missouri, 3.37819701565e-06, 1.0
219, 1129712204, duckygranny, 7, South Dakota, 1.87700161899e-05, 1.0
220, 156961877, notzacksmom, 0, None, 6.63473678399e-06, 1.0
221, 55071330, puba1800, 7, None, 2.46682154557e-05, 21.0
222, 278628972, raymondpayne1, 1, Washington, 5.34686799262e-06, 1.0
223, 344168212, edwoodsonshow, 7, Florida, 5.63500023185e-06, 4.0
224, 120126083, 379rst, 0, Massachusetts, 7.21208910211e-06, 1.0
225, 228946570, mrandersongov, 3, None, 3.1871575537e-05, 1.0
226, 285174423, sounderzoot, 1, None, 1.97212104449e-05, 1.0
227, 330486427, joehattoniii, 0, None, 5.80199731286e-06, 7.0
228, 15602334, drrichswier, 0, Florida, 5.69952388325e-06, 40.0
229, 551979698, zmdave, 0, None, 5.87592289171e-06, 1.0
230, 603966145, richardgmedlock, 0, None, 3.37819701565e-06, 11.0
231, 50232027, pooky4, 1, Illinois, 3.37819701565e-06, 1.0
232, 821660419, gvhorn1, 7, None, 1.11701128032e-05, 5.0
233, 281275142, harbingermlec, 7, Florida, 1.76560662083e-05, 20.0
234, 78928660, txcivilgirl, 1, None, 3.37819701565e-06, 1.0
235, 512852762, cbiggerpic, 0, None, 5.14117983829e-06, 1.0
236, 148507438, lizzy2899, 0, Pennsylvania, 3.37819701565e-06, 2.0
237, 46963516, harry_in_pa, 7, Pennsylvania, 1.0868144111e-05, 2.0
238, 310725467, notesfromachair, 1, None, 9.31267960435e-06, 1.0
239, 616303472, wh_cindy, 0, None, 1.64237435156e-05, 1.0
240, 223009656, winningimagesjc, 0, Washington DC, 4.93968676392e-06, 2.0
241, 409469825, noyeswy, 7, South Dakota, 1.28040002968e-05, 1.0
242, 102175632, nyconservativ, 7, New York, 8.15196850667e-06, 20.0
243, 244674034, political_qrm, 0, New Hampshire, 1.43804656016e-05, 4.0
244, 23364528, softballmom05, 0, New Jersey, 5.57567689658e-06, 1.0
245, 31480794, ghostriderradio, 7, None, 8.5275496434e-06, 1.0
246, 35955737, freedombill_ca, 0, None, 1.61939020033e-05, 13.0
247, 405402671, steveh721, 7, None, 4.85383571732e-06, 1.0
248, 104199221, ericboehm87, 3, Minnesota, 1.22321142467e-05, 4.0
249, 297133115, ekh2016, 7, None, 1.82037472348e-05, 1.0
250, 22821953, dollardude, 0, Ohio, 7.21208910211e-06, 1.0
251, 419288132, patriciadmisner, 7, Mississippi, 7.21208910211e-06, 1.0
252, 19737700, joetalkshow, 0, Texas, 4.45539011489e-05, 2.0
253, 143836292, 1jessicaramirez, 1, New York, 8.14120438195e-06, 1.0
254, 75332746, mickstrongin, 5, Nevada, 8.14662905773e-06, 5.0
255, 415208611, eyewouldtoo, 3, Illinois, 8.23215919236e-06, 1.0
256, 148845750, visiblejudd, 7, New York, 7.10365305039e-06, 2.0
257, 267265231, nicolejmfile, 7, None, 8.98229634836e-06, 1.0
258, 87393488, brianjmather, 7, None, 3.37819701565e-06, 1.0
259, 482546980, salsa_wonk, 1, Texas, 3.37819701565e-06, 1.0
260, 16583986, lisakauai, 0, None, 1.82003447546e-05, 5.0
261, 110212419, raulmoren0, 7, Illinois, 9.84518366209e-06, 2.0
262, 479135098, instavire, 0, Connecticut, 3.37819701565e-06, 1.0
263, 23465352, jbreisblatt, 3, Washington DC, 4.14162311979e-05, 79.0
264, 149319055, amerjustice, 0, None, 6.83519117417e-06, 7.0
265, 49180067, ellis4tw, 7, Michigan, 1.11394951511e-05, 1.0
266, 302996908, will6cx, 0, None, 4.57084054956e-06, 5.0
267, 7445952, hansgruen, 0, New York, 1.56097025973e-05, 6.0
268, 145805900, wltpam910, 0, None, 3.37819701565e-06, 1.0
269, 23113171, az9thdstrct, 7, Arizona, 8.7958730725e-06, 2.0
270, 717221335, nancylinejacobs, 3, Nebraska, 3.37819701565e-06, 16.0
271, 197449209, sportsjefe81, 3, New Jersey, 1.13942206315e-05, 1.0
272, 520996353, tiredofrudens, 0, None, 8.97262132297e-06, 1.0
273, 20579845, rogerkimball, 7, None, 3.35900849164e-05, 5.0
